popularity,original_title,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
2.976436,Home,94,Fantasy,2015-03-18,1060,6.9,2015,124199945.4,339361177.1
2.968254,Paper Towns,109,Drama,2015-07-09,1252,6.2,2015,11039995.14,78671281.38
2.93234,Wild Card,92,Thriller,2015-01-14,481,5.3,2015,27599987.86,0.0
2.885126,The Lobster,118,Thriller,2015-10-08,638,6.6,2015,3679998.381,8339346.451
2.883233,Carol,118,Romance,2015-11-20,562,7.1,2015,10855995.22,37050347.9
2.814802,The Intern,121,Comedy,2015-09-24,1255,7.1,2015,32199985.83,178999419.5
2.798017,Everest,121,Adventure,2015-09-10,1172,6.7,2015,50599977.74,187153294.9
2.793297,Joy,124,Comedy,2015-12-24,1001,6.4,2015,55199975.71,93043293.34
2.614499,Point Break,114,Action,2015-12-03,505,5.5,2015,96599957.5,123021160.0
2.584264,Burnt,100,Drama,2015-10-02,631,6.3,2015,18399991.9,33678188.74
2.578919,Self/less,116,Science Fiction,2015-07-10,719,6.2,2015,23919989.48,28081355.56
2.575711,Mortdecai,106,Comedy,2015-01-21,696,5.3,2015,55199975.71,27985062.89
2.557859,The Danish Girl,120,Drama,2015-11-27,867,7.3,2015,13799993.93,59056175.18
2.550747,Blackhat,133,Mystery,2015-01-13,584,5.0,2015,64399971.66,16332697.61
2.487849,Sicario,121,Action,2015-09-17,1479,7.1,2015,27599987.86,77303716.71
2.487042,Fantastic Four,100,Action,2015-08-05,1565,4.4,2015,110399952.3,154539320.3
2.46449,The Witch,92,Mystery,2015-03-24,700,5.8,2015,3219998.583,37190013.04
2.404473,Spy,120,Action,2015-05-06,1840,6.9,2015,59799973.69,216812826.1
2.395366,Focus,105,Romance,2015-02-25,1831,6.7,2015,46091979.72,141645863.6
2.354654,Hitman: Agent 47,96,Action,2015-08-20,820,5.5,2015,32199985.83,75759810.19
2.345821,In the Heart of the Sea,122,Thriller,2015-11-20,805,6.4,2015,91999959.52,86315059.38
2.331636,Survivor,96,Crime,2015-05-21,280,5.4,2015,18399991.9,0.0
2.331567,Creed,133,Drama,2015-11-25,1171,7.3,2015,32199985.83,126900665.8
2.31767,Trainwreck,125,Comedy,2015-07-17,849,6.1,2015,32199985.83,129532072.6
2.29573,Eye in the Sky,102,Drama,2015-09-11,265,7.2,2015,11959994.74,30220316.9
2.28135,Legend,131,Crime,2015-09-09,619,6.7,2015,22999989.88,39535137.08
2.272044,Beyond the Reach,95,Thriller,2015-04-17,81,5.5,2015,0.0,42223.38142
2.234573,Pan,111,Adventure,2015-09-24,586,5.9,2015,137999939.3,118117202.4
2.165433,Mythica: The Darkspore,108,Action,2015-06-24,27,5.1,2015,0.0,0.0
2.141506,Me and Earl and the Dying Girl,105,Comedy,2015-06-12,569,7.7,2015,0.0,0.0
2.140199,The Peanuts Movie,88,Adventure,2015-11-05,414,6.4,2015,91079959.92,226534364.3
2.121884,Concussion,123,Drama,2015-11-12,500,6.9,2015,32199985.83,44733666.56
2.096273,The Night Before,100,Comedy,2015-11-20,363,6.1,2015,22999989.88,48204295.11
2.080935,Knock Knock,99,Drama,2015-06-26,473,4.8,2015,2299998.988,4796917.449
2.070708,The Longest Ride,128,Romance,2015-04-09,711,7.3,2015,31279986.24,57972193.01
2.060162,Hotel Transylvania 2,89,Animation,2015-09-21,919,6.8,2015,73599967.62,428888671.8
2.055572,Love the Coopers,107,Family,2015-11-12,111,5.3,2015,15639993.12,22079990.28
2.049886,The Walk,123,Adventure,2015-09-30,706,6.8,2015,32199985.83,56287361.87
2.026651,Tracers,94,Action,2015-01-15,326,5.9,2015,10119995.55,1714249.046
2.000338,Vacation,99,Adventure,2015-07-28,846,6.1,2015,28519987.45,96033410.71
1.984529,Poltergeist,93,Horror,2015-05-20,589,5.0,2015,32199985.83,87802915.85
1.980039,Maggie,95,Horror,2015-05-08,384,5.1,2015,3679998.381,172142.9643
1.959765,Equals,101,Drama,2015-09-04,135,5.6,2015,0.0,1839999.19
1.95632,Child 44,137,Crime,2015-03-15,341,5.9,2015,45999979.76,3058382.254
1.926739,The Gift,108,Thriller,2015-07-30,631,6.6,2015,4599997.976,54260336.89
1.904898,Daddy's Home,96,Comedy,2015-12-25,568,5.7,2015,45999979.76,221131463.3
1.876037,Mythica: The Necromancer,0,Fantasy,2015-12-19,11,5.4,2015,0.0,0.0
1.872696,Vice,96,Thriller,2015-01-16,181,4.1,2015,9199995.952,0.0
1.865007,The Little Prince,92,Adventure,2015-07-29,423,7.5,2015,58879974.09,89765510.5
1.841779,Alvin and the Chipmunks: The Road Chip,92,Adventure,2015-12-17,278,5.7,2015,0.0,215055014.1
1.82313,The Dressmaker,118,Drama,2015-10-01,197,6.9,2015,10975595.17,16872792.58
1.758618,The DUFF,100,Romance,2015-02-20,753,6.8,2015,7819996.559,40046325.66
1.742286,Sinister 2,97,Horror,2015-08-19,331,5.5,2015,9199995.952,48651435.15
1.73518,Paul Blart: Mall Cop 2,94,Action,2015-04-16,422,5.3,2015,27599987.86,98989419.08
1.724712,Frozen Fever,8,Adventure,2015-03-09,475,7.0,2015,0.0,0.0
1.661789,High-Rise,119,Action,2015-09-26,161,5.4,2015,0.0,0.0
1.651078,The Boy Next Door,91,Thriller,2015-01-23,810,3.9,2015,3679998.381,46150034.45
1.646664,Spooks: The Greater Good,104,Thriller,2015-04-11,114,5.6,2015,0.0,0.0
1.532997,Entourage,104,Comedy,2015-06-03,364,6.2,2015,27599987.86,45322311.74
1.510096,The Wedding Ringer,101,Comedy,2015-01-16,446,6.5,2015,21159990.69,73415857.3
1.499614,Scouts Guide to the Zombie Apocalypse,93,Comedy,2015-10-23,288,6.2,2015,13799993.93,13671898.7
1.495112,The Visit,94,Horror,2015-09-10,729,5.9,2015,4599997.976,90574017.19
1.483246,Black Mass,122,Crime,2015-09-04,848,6.3,2015,48759978.55,91793583.37
1.449072,Heist,93,Crime,2015-11-13,233,5.4,2015,8187996.397,46125.0997
1.448002,Krampus,98,Horror,2015-11-26,342,5.9,2015,13799993.93,56624785.53
1.443406,Dark Places,113,Drama,2015-03-31,322,5.7,2015,18399991.9,191900.8756
1.41239,No Escape,103,Action,2015-08-26,519,6.7,2015,4599997.976,50065340.21
1.40805,Dope,103,Crime,2015-06-19,448,7.3,2015,643999.7166,16547831.24
1.388251,American Ultra,96,Comedy,2015-08-19,695,5.9,2015,25759988.67,25951426.78
1.388032,Woman in Gold,120,Drama,2015-04-10,277,7.3,2015,10119995.55,56690166.22
1.38032,The Scorpion King: The Lost Throne,105,Action,2015-01-09,22,4.5,2015,0.0,0.0
1.376605,Sisters,118,Comedy,2015-12-18,399,5.9,2015,27599987.86,96610126.25
1.360926,Project Almanac,106,Science Fiction,2015-01-30,637,6.3,2015,11039995.14,29668368.67
1.360827,Absolutely Anything,85,Comedy,2015-06-26,199,5.8,2015,0.0,4774472.219
1.355822,The Transporter Refueled,96,Thriller,2015-09-03,407,5.3,2015,22999989.88,66819267.0
1.345982,Crimson Peak,119,Mystery,2015-10-13,819,6.4,2015,50599977.74,68705406.01
1.342839,Everly,90,Thriller,2015-01-23,169,5.1,2015,0.0,0.0
1.338481,Magic Mike XXL,115,Comedy,2015-07-01,501,6.3,2015,13615994.01,112619962.9
1.338322,Paranormal Activity: The Ghost Dimension,88,Horror,2015-10-21,267,5.0,2015,9199995.952,71851557.15
1.329702,Slow West,84,Romance,2015-04-16,229,6.6,2015,0.0,210766.3873
1.316239,Trumbo,124,Drama,2015-10-27,273,7.2,2015,13799993.93,7576804.786
1.315266,Secret in Their Eyes,111,Crime,2015-10-14,202,6.2,2015,17939992.11,29614535.81
1.29314,Mistress America,84,Comedy,2015-08-14,132,6.4,2015,0.0,2300395.508
1.291013,The SpongeBob Movie: Sponge Out of Water,93,Family,2015-02-05,533,5.7,2015,68079970.04,286666383.3
1.284541,True Story,100,Crime,2015-04-17,354,6.0,2015,0.0,4342117.489
1.278928,Max,111,Adventure,2015-06-26,214,7.0,2015,18399991.9,40449856.8
1.25358,Shaun the Sheep Movie,85,Family,2015-02-05,340,6.9,2015,0.0,54923975.83
1.251681,Louder Than Bombs,109,Drama,2015-05-18,43,6.3,2015,10119995.55,0.0
1.245224,A Perfect Day,106,Comedy,2015-08-28,102,6.3,2015,0.0,1566237.671
1.225325,The Gunman,115,Action,2015-02-16,283,5.6,2015,36799983.81,9811564.763
1.191138,Unfriended,82,Horror,2015-04-17,643,5.6,2015,919999.5952,57851497.35
1.178831,Hot Pursuit,87,Action,2015-05-08,472,5.5,2015,32199985.83,47545764.0
1.164724,Insidious: Chapter 3,97,Drama,2015-06-04,610,6.3,2015,9199995.952,95959500.7
1.161812,Z for Zachariah,97,Drama,2015-08-13,181,5.5,2015,0.0,109004.312
1.144808,Dragonheart 3: The Sorcerer's Curse,97,Action,2015-02-24,59,4.5,2015,0.0,0.0
1.142518,The Lady in the Van,104,Comedy,2015-11-13,135,5.9,2015,5519997.571,38076655.29
1.138395,Victor Frankenstein,109,Drama,2015-11-10,408,5.5,2015,36799983.81,31489100.3
1.128081,Brothers of the Wind,98,Adventure,2015-12-24,11,7.5,2015,0.0,0.0
1.125239,Anomalisa,90,Animation,2015-12-30,259,6.7,2015,7359996.762,3458541.598
1.073349,Bone Tomahawk,132,Horror,2015-10-23,220,6.3,2015,1655999.271,0.0
1.065888,Regression,106,Horror,2015-10-01,310,5.2,2015,0.0,16257405.77
1.063055,Pawn Sacrifice,114,Drama,2015-09-16,148,6.6,2015,0.0,0.0
1.046518,The Man Who Knew Infinity,108,Drama,2015-09-17,104,7.1,2015,0.0,10554653.04
1.041922,Momentum,96,Thriller,2015-08-01,100,5.8,2015,18399991.9,0.0
1.03839,The Diary of a Teenage Girl,102,Drama,2015-08-07,186,6.8,2015,1839999.19,1358841.242
1.036825,Pay the Ghost,94,Horror,2015-09-16,114,5.3,2015,0.0,0.0
1.02762,The Voices,101,Horror,2015-02-06,371,6.0,2015,0.0,0.0
1.021441,Last Knights,115,Action,2015-04-03,237,6.3,2015,0.0,3352102.245
1.008474,Il racconto dei racconti,125,Romance,2015-05-14,211,5.7,2015,11039995.14,0.0
1.007054,Irrational Man,95,Mystery,2015-07-17,319,6.1,2015,10119995.55,25199786.19
0.973316,Queen of the Desert,128,Drama,2015-09-03,30,6.0,2015,13799993.93,0.0
0.956096,Ricki and the Flash,100,Comedy,2015-07-10,152,5.5,2015,16559992.71,38019285.03
0.953647,Miss You Already,112,Comedy,2015-09-12,139,7.2,2015,0.0,0.0
0.953046,Kung Fury,31,Action,2015-05-28,487,7.7,2015,579617.225,0.0
0.950793,The Perfect Guy,100,Drama,2015-09-11,122,5.6,2015,11039995.14,55451294.76
0.938432,A Bigger Splash,120,Crime,2015-11-26,69,5.8,2015,0.0,1781601.296
0.93762,While We're Young,97,Drama,2015-03-27,265,5.9,2015,9199995.952,6980483.129
0.927339,Get Hard,100,Comedy,2015-03-26,661,5.9,2015,36799983.81,97990493.64
0.91704,Kidnapping Mr. Heineken,95,Drama,2015-03-12,131,5.8,2015,0.0,0.0
0.913085,The Ridiculous 6,119,Comedy,2015-12-11,252,4.8,2015,55199975.71,0.0
0.90686,Kill Me Three Times,90,Comedy,2015-04-10,96,5.1,2015,0.0,0.0
0.906036,The 33,120,History,2015-08-06,262,5.8,2015,22999989.88,22910495.08
0.898296,Suffragette,106,Drama,2015-10-16,231,7.1,2015,12879994.33,14722219.92
0.894477,45 Years,95,Drama,2015-08-28,167,6.0,2015,0.0,0.0
0.880938,We Are Your Friends,96,Drama,2015-08-26,412,6.2,2015,5519997.571,10232318.3
0.880268,Barely Lethal,96,Adventure,2015-04-30,215,5.5,2015,0.0,5588.997541
0.874641,Macbeth,113,History,2015-08-16,269,6.4,2015,0.0,12137055.1
0.872149,Extraction,83,Action,2015-12-18,57,4.2,2015,0.0,15432.99321
0.861179,Jenny's Wedding,94,Comedy,2015-07-31,92,5.2,2015,0.0,0.0
0.848748,Descendants,112,Music,2015-07-31,262,6.7,2015,0.0,0.0
0.843174,Tumbledown,105,Music,2015-04-18,22,6.6,2015,0.0,0.0
0.842202,Far from the Madding Crowd,119,Romance,2015-05-01,220,6.9,2015,0.0,27811566.6
0.836941,The End of the Tour,106,Drama,2015-07-31,126,7.3,2015,0.0,2762652.064
0.832487,The Second Best Exotic Marigold Hotel,122,Drama,2015-02-26,196,6.4,2015,9199995.952,79099969.92
0.829111,Little Boy,106,Comedy,2015-04-23,113,7.1,2015,18399991.9,5906690.881
0.821443,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,48,Action,2015-02-10,14,6.4,2015,0.0,0.0
0.820691,Remember,94,Drama,2015-10-23,75,7.7,2015,0.0,1827684.996
0.814206,Aloha,105,Adventure,2015-05-27,469,5.2,2015,34039985.02,24150007.77
0.813893,Accidental Love,100,Romance,2015-02-10,64,3.6,2015,23919989.48,0.0
0.810667,Halo: The Fall of Reach,67,Action,2015-10-27,32,5.3,2015,0.0,0.0
0.795762,Our Brand Is Crisis,108,Drama,2015-09-11,122,5.7,2015,25759988.67,6442077.285
0.792471,Into the Forest,101,Drama,2015-06-03,57,5.1,2015,0.0,0.0
0.787969,The Invitation,100,Thriller,2015-03-13,192,6.4,2015,0.0,213197.9462
0.781809,The Benefactor,90,Drama,2015-04-17,55,4.5,2015,0.0,0.0
0.773909,Open Season: Scared Silly,85,Animation,2015-12-31,33,5.6,2015,0.0,0.0
0.77107,Cop Car,86,Thriller,2015-08-07,174,5.5,2015,0.0,123787.7855
0.768138,Mojave,93,Thriller,2015-04-18,17,4.3,2015,0.0,0.0
0.758133,Sleeping with Other People,100,Comedy,2015-06-26,197,6.2,2015,0.0,2956985.419
0.747541,Forsaken,90,Western,2015-09-16,53,5.6,2015,10119995.55,0.0
0.738404,Amy,128,Documentary,2015-07-03,345,7.5,2015,0.0,7740089.074
0.7299,Madame Bovary,118,Drama,2015-06-04,52,5.3,2015,0.0,0.0
0.719407,The Hallow,97,Fantasy,2015-11-06,122,4.9,2015,0.0,0.0
0.714131,Barbie in Princess Power,74,Family,2015-01-29,13,5.5,2015,0.0,0.0
0.707355,Howl,89,Horror,2015-10-01,62,4.9,2015,0.0,0.0
0.706023,Freeheld,103,Romance,2015-10-02,86,7.1,2015,6439997.166,527467.9679
0.70137,Man Up,88,Romance,2015-05-29,264,6.5,2015,0.0,0.0
0.699932,Love,134,Drama,2015-07-06,307,4.7,2015,2759998.786,639647.1986
0.69957,Truth,121,Drama,2015-09-12,89,6.4,2015,8831996.114,2338228.651
0.696184,Return to Sender,95,Thriller,2015-05-31,88,5.0,2015,0.0,0.0
0.690479,Danny Collins,107,Comedy,2015-03-20,114,6.6,2015,9199995.952,9968887.454
0.689579,Rock the Kasbah,100,Comedy,2015-10-22,56,5.1,2015,13799993.93,2779009.657
0.689571,Fathers and Daughters,116,Drama,2015-10-01,142,7.0,2015,2060799.093,0.0
0.673792,"Hello, My Name Is Doris",95,Comedy,2015-11-27,87,6.6,2015,919999.5952,13289393.23
0.669351,The Vatican Tapes,91,Thriller,2015-07-24,164,4.5,2015,11959994.74,1641981.238
0.661471,99 Homes,112,Drama,2015-09-25,121,6.8,2015,7359996.762,1298972.268
0.661163,Hot Tub Time Machine 2,93,Comedy,2015-02-20,244,5.0,2015,12879994.33,11329473.94
0.654335,Knight of Cups,118,Romance,2015-09-10,101,5.7,2015,0.0,0.0
0.654046,Manglehorn,97,Drama,2015-06-03,35,5.0,2015,3679998.381,131652.8621
0.649628,Mississippi Grind,108,Drama,2015-07-04,74,5.7,2015,0.0,0.0
0.644786,400 Days,91,Mystery,2015-10-29,98,4.2,2015,0.0,0.0
0.640151,Lava,7,Animation,2015-06-19,298,7.3,2015,0.0,0.0
0.638557,Air,94,Thriller,2015-08-14,135,4.7,2015,0.0,0.0
0.633608,Riot,88,Action,2015-09-27,11,5.0,2015,0.0,0.0
0.629561,Septembers of Shiraz,110,Drama,2015-09-15,14,5.9,2015,0.0,0.0
0.607124,Every Thing Will Be Fine,118,Drama,2015-04-02,44,5.1,2015,0.0,7391.276748
0.606113,Extinction,110,Drama,2015-08-07,135,5.3,2015,0.0,0.0
0.604928,The Childhood of a Leader,116,Mystery,2015-09-02,25,3.6,2015,0.0,0.0
0.602165,A Walk in the Woods,104,Drama,2015-09-02,171,5.4,2015,7359996.762,33111785.47
0.599751,Clown,100,Horror,2015-03-02,182,5.2,2015,0.0,0.0
0.599655,The Lazarus Effect,83,Thriller,2015-01-29,327,4.9,2015,3035998.664,58981843.81
0.589472,Batman vs. Robin,72,Action,2015-04-14,142,6.8,2015,0.0,0.0
0.586735,Careful What You Wish For,91,Thriller,2015-05-06,57,5.4,2015,7359996.762,0.0
0.584363,Racing Extinction,90,Adventure,2015-01-24,36,7.8,2015,0.0,0.0
0.577814,Unfinished Business,90,Comedy,2015-03-05,241,4.9,2015,32199985.83,13276746.92
0.570744,Lost River,95,Fantasy,2015-04-08,129,5.7,2015,1839999.19,41796.50161
0.569443,Cobain: Montage of Heck,132,Music,2015-03-23,197,7.5,2015,0.0,0.0
0.561032,Hyena Road,120,War,2015-10-09,29,5.7,2015,0.0,0.0
0.560744,Criminal Activities,94,Thriller,2015-11-20,67,5.9,2015,6439997.166,0.0
0.560423,Life,112,Drama,2015-07-24,75,5.9,2015,11039995.14,0.0
0.553238,"McFarland, USA",128,Drama,2015-02-20,139,7.4,2015,0.0,42053235.78
0.548587,Backtrack,90,Horror,2015-07-25,52,5.4,2015,0.0,0.0
0.547827,X+Y,111,Drama,2015-03-13,133,6.0,2015,0.0,0.0
0.546458,Home Sweet Hell,98,Drama,2015-03-13,136,4.9,2015,2759998.786,0.0
0.542568,Ooops! Noah is Gone...,85,Animation,2015-04-09,50,5.7,2015,5519997.571,0.0
0.5327,The Unspoken,90,Thriller,2015-10-24,10,4.1,2015,0.0,0.0
0.532239,Hot Girls Wanted,84,Documentary,2015-05-29,158,5.9,2015,0.0,0.0
0.532205,The Gallows,87,Horror,2015-07-10,247,5.0,2015,91999.95952,39251239.93
0.52985,Dirty Weekend,93,Drama,2015-09-04,12,4.8,2015,0.0,0.0
0.527957,I Spit on Your Grave III: Vengeance is Mine,91,Horror,2015-10-09,100,5.0,2015,0.0,0.0
0.526642,Experimenter,97,History,2015-10-16,94,6.9,2015,0.0,0.0
0.524315,By the Sea,122,Drama,2015-11-12,82,5.4,2015,9199995.952,3068131.49
0.52025,Woodlawn,123,Drama,2015-10-16,32,6.8,2015,0.0,0.0
0.516954,The Hollow,90,Horror,2015-10-24,19,5.1,2015,0.0,0.0
0.515401,Visions,80,Thriller,2015-08-28,67,5.5,2015,0.0,0.0
0.514735,Beyond the Mask,103,Action,2015-04-06,13,6.2,2015,0.0,1137205.98
0.513386,I Am Here,97,Drama,2015-06-12,18,4.0,2015,0.0,0.0
0.50732,Wild Horses,100,Crime,2015-06-05,16,4.1,2015,0.0,0.0
0.504828,Pressure,91,Drama,2015-06-04,29,5.0,2015,0.0,0.0
0.502489,Hidden,83,Thriller,2015-09-15,96,6.5,2015,0.0,0.0
0.497265,Hell & Back,86,Fantasy,2015-10-02,47,4.3,2015,0.0,145146.4961
0.486351,Robot Overlords,90,Adventure,2015-01-29,63,4.9,2015,19319991.5,0.0
0.482422,The Man with the Iron Fists 2,90,Action,2015-03-10,43,4.7,2015,0.0,0.0
0.47784,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,67,Action,2015-08-25,17,6.8,2015,0.0,0.0
0.476341,Crown for Christmas,84,TV Movie,2015-11-27,10,7.6,2015,0.0,0.0
0.475473,Spare Parts,83,Action,2015-01-16,38,6.6,2015,0.0,0.0
0.474788,The World Made Straight,119,Drama,2015-01-09,13,5.8,2015,0.0,0.0
0.474626,Last Shift,88,Horror,2015-10-06,77,5.6,2015,0.0,0.0
0.473344,Frankenstein,89,Horror,2015-11-03,14,4.5,2015,0.0,0.0
0.471393,Cartel Land,100,Drama,2015-07-03,112,7.5,2015,0.0,0.0
0.471091,Superfast!,99,Comedy,2015-03-05,60,4.4,2015,18399991.9,0.0
0.470991,Moonwalkers,107,Comedy,2015-03-14,53,6.0,2015,0.0,0.0
0.470124,Chi-Raq,127,Music,2015-12-04,33,5.9,2015,0.0,0.0
0.467556,Bad Asses on the Bayou,85,Comedy,2015-03-06,24,5.8,2015,4875997.855,0.0
0.465707,Strange Magic,99,Music,2015-01-23,68,6.1,2015,0.0,12515171.25
0.46209,Black or White,121,Drama,2015-01-30,72,6.7,2015,8279996.357,19845485.15
0.459597,Dead Rising,118,Horror,2015-03-27,82,4.9,2015,0.0,0.0
0.454151,Deathgasm,86,Comedy,2015-08-28,83,6.5,2015,0.0,0.0
0.452939,Justice League: Gods and Monsters,76,Action,2015-07-28,99,6.9,2015,0.0,0.0
0.450872,I Saw the Light,123,Drama,2015-09-11,19,5.6,2015,11959994.74,1515044.293
0.45016,Good Kill,104,Action,2015-04-09,132,5.7,2015,0.0,291154.1119
0.444265,Southbound,89,Fantasy,2015-09-17,73,6.0,2015,0.0,0.0
0.444193,Star Trek: Renegades,88,Action,2015-08-01,31,4.1,2015,0.0,0.0
0.443525,The Boy,110,Thriller,2015-08-14,22,6.1,2015,0.0,0.0
0.442835,Riley's First Date?,5,Animation,2015-11-03,137,7.3,2015,0.0,0.0
0.442427,The Program,103,Drama,2015-09-16,107,5.9,2015,0.0,3023530.83
0.442067,Lila & Eve,94,Thriller,2015-07-31,78,5.2,2015,0.0,0.0
0.441882,The Final Girls,91,Horror,2015-10-09,211,6.6,2015,0.0,0.0
0.441402,He Never Died,99,Thriller,2015-03-17,65,6.3,2015,0.0,0.0
0.439598,A Very Murray Christmas,56,Comedy,2015-12-04,101,5.4,2015,0.0,0.0
0.438409,Kill Your Friends,100,Thriller,2015-11-06,54,5.5,2015,0.0,0.0
0.437088,Battle For SkyArk,88,Family,2015-05-18,18,3.5,2015,0.0,0.0
0.435582,Jem and the Holograms,119,Drama,2015-10-22,69,5.7,2015,4599997.976,2146988.335
0.433073,The Adderall Diaries,105,Thriller,2015-04-16,23,4.8,2015,0.0,0.0
0.429892,Grizzly,94,Action,2015-02-27,35,5.0,2015,9199995.952,0.0
0.427116,Where to Invade Next,120,Documentary,2015-12-23,67,7.2,2015,0.0,0.0
0.424813,Beasts of No Nation,137,Drama,2015-09-11,306,7.5,2015,5519997.571,83514.80325
0.423161,A Christmas Horror Story,99,Horror,2015-10-02,56,5.6,2015,0.0,0.0
0.42179,Sunset Song,135,Drama,2015-12-04,19,7.1,2015,0.0,0.0
0.429756,Synchronicity,101,Thriller,2015-07-22,45,5.3,2015,0.0,4144.598176
0.417191,12 Gifts of Christmas,84,Family,2015-11-26,12,6.3,2015,0.0,0.0
0.415041,The Pack,90,Thriller,2015-08-05,15,5.5,2015,0.0,0.0
0.414913,Demonic,83,Thriller,2015-02-12,91,5.0,2015,2759998.786,3116038.629
0.370258,The Girl in the Photographs,95,Crime,2015-09-14,10,4.7,2015,0.0,0.0
0.412877,The Legend of Barney Thomson,96,Thriller,2015-07-24,21,5.7,2015,0.0,0.0
0.412503,The Duke of Burgundy,101,Drama,2015-01-23,58,5.8,2015,919999.5952,0.0
0.409698,88,88,Thriller,2015-01-06,20,4.4,2015,0.0,0.0
